[2020-08-13 20:37:20,747] chlorophyll.autograd INFO    :   3599 -  117634768.0 (   -727400.0 difference)
[2020-08-13 20:37:21,165] chlorophyll.autograd INFO    :   3699 -  116979184.0 (   -655584.0 difference)
[2020-08-13 20:37:21,527] chlorophyll.autograd INFO    :   3799 -  116382352.0 (   -596832.0 difference)
[2020-08-13 20:37:21,948] chlorophyll.autograd INFO    :   3899 -  115833120.0 (   -549232.0 difference)
[2020-08-13 20:37:22,360] chlorophyll.autograd INFO    :   3999 -  115323256.0 (   -509864.0 difference)
[2020-08-13 20:37:22,760] chlorophyll.autograd INFO    :   4099 -  114845632.0 (   -477624.0 difference)
[2020-08-13 20:37:23,153] chlorophyll.autograd INFO    :   4199 -  114394752.0 (   -450880.0 difference)
[2020-08-13 20:37:23,532] chlorophyll.autograd INFO    :   4299 -  113966480.0 (   -428272.0 difference)
[2020-08-13 20:37:23,897] chlorophyll.autograd INFO    :   4399 -  113557616.0 (   -408864.0 difference)
[2020-08-13 20:37:24,295] chlorophyll.autograd INFO    :   4499 -  113165088.0 (   -392528.0 difference)
[2020-08-13 20:37:24,701] chlorophyll.autograd INFO    :   4599 -  112786920.0 (   -378168.0 difference)
[2020-08-13 20:37:25,096] chlorophyll.autograd INFO    :   4699 -  112421472.0 (   -365448.0 difference)
[2020-08-13 20:37:25,512] chlorophyll.autograd INFO    :   4799 -  112067216.0 (   -354256.0 difference)
[2020-08-13 20:37:25,881] chlorophyll.autograd INFO    :   4899 -  111722424.0 (   -344792.0 difference)
[2020-08-13 20:37:26,256] chlorophyll.autograd INFO    :   4999 -  111385944.0 (   -336480.0 difference)
[2020-08-13 20:37:26,614] chlorophyll.autograd INFO    :   5099 -  111057456.0 (   -328488.0 difference)
[2020-08-13 20:37:27,022] chlorophyll.autograd INFO    :   5199 -  110736128.0 (   -321328.0 difference)
[2020-08-13 20:37:27,408] chlorophyll.autograd INFO    :   5299 -  110420896.0 (   -315232.0 difference)
[2020-08-13 20:37:27,827] chlorophyll.autograd INFO    :   5399 -  110110968.0 (   -309928.0 difference)
[2020-08-13 20:37:28,226] chlorophyll.autograd INFO    :   5499 -  109806128.0 (   -304840.0 difference)
[2020-08-13 20:37:28,599] chlorophyll.autograd INFO    :   5599 -  109506344.0 (   -299784.0 difference)
[2020-08-13 20:37:28,969] chlorophyll.autograd INFO    :   5699 -  109211416.0 (   -294928.0 difference)
[2020-08-13 20:37:29,285] chlorophyll.autograd INFO    :   5799 -  108921112.0 (   -290304.0 difference)
[2020-08-13 20:37:29,592] chlorophyll.autograd INFO    :   5899 -  108634984.0 (   -286128.0 difference)
[2020-08-13 20:37:29,953] chlorophyll.autograd INFO    :   5999 -  108352584.0 (   -282400.0 difference)
[2020-08-13 20:37:30,276] chlorophyll.autograd INFO    :   6099 -  108073648.0 (   -278936.0 difference)
[2020-08-13 20:37:30,595] chlorophyll.autograd INFO    :   6199 -  107798048.0 (   -275600.0 difference)
[2020-08-13 20:37:30,909] chlorophyll.autograd INFO    :   6299 -  107525816.0 (   -272232.0 difference)
[2020-08-13 20:37:31,253] chlorophyll.autograd INFO    :   6399 -  107257120.0 (   -268696.0 difference)
[2020-08-13 20:37:31,582] chlorophyll.autograd INFO    :   6499 -  106992008.0 (   -265112.0 difference)
[2020-08-13 20:37:31,887] chlorophyll.autograd INFO    :   6599 -  106730448.0 (   -261560.0 difference)
[2020-08-13 20:37:32,174] chlorophyll.autograd INFO    :   6699 -  106472512.0 (   -257936.0 difference)
[2020-08-13 20:37:32,468] chlorophyll.autograd INFO    :   6799 -  106218016.0 (   -254496.0 difference)
[2020-08-13 20:37:32,771] chlorophyll.autograd INFO    :   6899 -  105966912.0 (   -251104.0 difference)
[2020-08-13 20:37:33,094] chlorophyll.autograd INFO    :   6999 -  105719200.0 (   -247712.0 difference)
[2020-08-13 20:37:33,380] chlorophyll.autograd INFO    :   7099 -  105474736.0 (   -244464.0 difference)
[2020-08-13 20:37:33,670] chlorophyll.autograd INFO    :   7199 -  105233584.0 (   -241152.0 difference)
[2020-08-13 20:37:33,962] chlorophyll.autograd INFO    :   7299 -  104995640.0 (   -237944.0 difference)
[2020-08-13 20:37:34,252] chlorophyll.autograd INFO    :   7399 -  104760704.0 (   -234936.0 difference)
[2020-08-13 20:37:34,538] chlorophyll.autograd INFO    :   7499 -  104528624.0 (   -232080.0 difference)
[2020-08-13 20:37:34,831] chlorophyll.autograd INFO    :   7599 -  104299400.0 (   -229224.0 difference)
[2020-08-13 20:37:35,136] chlorophyll.autograd INFO    :   7699 -  104072960.0 (   -226440.0 difference)
[2020-08-13 20:37:35,443] chlorophyll.autograd INFO    :   7799 -  103849280.0 (   -223680.0 difference)
[2020-08-13 20:37:35,739] chlorophyll.autograd INFO    :   7899 -  103628288.0 (   -220992.0 difference)
[2020-08-13 20:37:36,036] chlorophyll.autograd INFO    :   7999 -  103409888.0 (   -218400.0 difference)
[2020-08-13 20:37:36,330] chlorophyll.autograd INFO    :   8099 -  103194072.0 (   -215816.0 difference)
[2020-08-13 20:37:36,650] chlorophyll.autograd INFO    :   8199 -  102980752.0 (   -213320.0 difference)
[2020-08-13 20:37:36,949] chlorophyll.autograd INFO    :   8299 -  102769880.0 (   -210872.0 difference)
[2020-08-13 20:37:37,256] chlorophyll.autograd INFO    :   8399 -  102561392.0 (   -208488.0 difference)
[2020-08-13 20:37:37,580] chlorophyll.autograd INFO    :   8499 -  102355216.0 (   -206176.0 difference)
[2020-08-13 20:37:37,889] chlorophyll.autograd INFO    :   8599 -  102151368.0 (   -203848.0 difference)
[2020-08-13 20:37:38,200] chlorophyll.autograd INFO    :   8699 -  101949872.0 (   -201496.0 difference)
[2020-08-13 20:37:38,478] chlorophyll.autograd INFO    :   8799 -  101750648.0 (   -199224.0 difference)
[2020-08-13 20:37:38,799] chlorophyll.autograd INFO    :   8899 -  101553616.0 (   -197032.0 difference)
[2020-08-13 20:37:39,119] chlorophyll.autograd INFO    :   8999 -  101358720.0 (   -194896.0 difference)
[2020-08-13 20:37:39,434] chlorophyll.autograd INFO    :   9099 -  101165856.0 (   -192864.0 difference)
[2020-08-13 20:37:39,779] chlorophyll.autograd INFO    :   9199 -  100975040.0 (   -190816.0 difference)
[2020-08-13 20:37:40,051] chlorophyll.autograd INFO    :   9299 -  100786192.0 (   -188848.0 difference)
[2020-08-13 20:37:40,390] chlorophyll.autograd INFO    :   9399 -  100599248.0 (   -186944.0 difference)
[2020-08-13 20:37:40,702] chlorophyll.autograd INFO    :   9499 -  100414192.0 (   -185056.0 difference)
[2020-08-13 20:37:41,021] chlorophyll.autograd INFO    :   9599 -  100231088.0 (   -183104.0 difference)
[2020-08-13 20:37:41,320] chlorophyll.autograd INFO    :   9699 -  100049816.0 (   -181272.0 difference)
[2020-08-13 20:37:41,625] chlorophyll.autograd INFO    :   9799 -   99870368.0 (   -179448.0 difference)
[2020-08-13 20:37:41,924] chlorophyll.autograd INFO    :   9899 -   99692720.0 (   -177648.0 difference)
[2020-08-13 20:37:42,240] chlorophyll.autograd INFO    :   9999 -   99516832.0 (   -175888.0 difference)
[2020-08-13 20:37:42,243] chlorophyll.autograd INFO    : optimization took 3.7e+01 seconds
[2020-08-13 20:37:43,387] chlorophyll.autograd INFO    : RMSE of validation chlorophyll vs predicted chlorophyll: 8.37
[2020-08-13 20:37:43,388] chlorophyll.autograd INFO    : standard deviation of validation chlorophyll:            9.38
[2020-08-14 22:11:02,123] chlorophyll.autograd INFO    : starting 10000 optimization passes on autograd model (16->12->1) w/ 1e-08 learning rate
[2020-08-14 22:11:03,480] chlorophyll.autograd INFO    :     99 -  458911456.0 ( 458911456.0 difference)
[2020-08-14 22:11:04,160] chlorophyll.autograd INFO    :    199 -  362694400.0 ( -96217056.0 difference)
[2020-08-14 22:11:04,646] chlorophyll.autograd INFO    :    299 -  302990144.0 ( -59704256.0 difference)
[2020-08-14 22:11:04,968] chlorophyll.autograd INFO    :    399 -  295140224.0 (  -7849920.0 difference)
[2020-08-14 22:11:05,465] chlorophyll.autograd INFO    :    499 -  289996928.0 (  -5143296.0 difference)
[2020-08-14 22:11:05,870] chlorophyll.autograd INFO    :    599 -  284630976.0 (  -5365952.0 difference)
[2020-08-14 22:11:06,146] chlorophyll.autograd INFO    :    699 -  278885600.0 (  -5745376.0 difference)
[2020-08-14 22:11:06,542] chlorophyll.autograd INFO    :    799 -  272647104.0 (  -6238496.0 difference)
[2020-08-14 22:11:07,098] chlorophyll.autograd INFO    :    899 -  265807328.0 (  -6839776.0 difference)
[2020-08-14 22:11:07,361] chlorophyll.autograd INFO    :    999 -  258273152.0 (  -7534176.0 difference)
[2020-08-14 22:11:07,669] chlorophyll.autograd INFO    :   1099 -  249989504.0 (  -8283648.0 difference)
[2020-08-14 22:11:08,292] chlorophyll.autograd INFO    :   1199 -  240956160.0 (  -9033344.0 difference)
[2020-08-14 22:11:08,566] chlorophyll.autograd INFO    :   1299 -  231248624.0 (  -9707536.0 difference)
[2020-08-14 22:11:08,847] chlorophyll.autograd INFO    :   1399 -  221027360.0 ( -10221264.0 difference)
[2020-08-14 22:11:09,305] chlorophyll.autograd INFO    :   1499 -  210522928.0 ( -10504432.0 difference)
[2020-08-14 22:11:09,860] chlorophyll.autograd INFO    :   1599 -  200003872.0 ( -10519056.0 difference)
[2020-08-14 22:11:10,130] chlorophyll.autograd INFO    :   1699 -  189737248.0 ( -10266624.0 difference)
[2020-08-14 22:11:10,462] chlorophyll.autograd INFO    :   1799 -  179956944.0 (  -9780304.0 difference)
[2020-08-14 22:11:11,219] chlorophyll.autograd INFO    :   1899 -  170847760.0 (  -9109184.0 difference)
[2020-08-14 22:11:11,511] chlorophyll.autograd INFO    :   1999 -  162538800.0 (  -8308960.0 difference)
[2020-08-14 22:11:11,859] chlorophyll.autograd INFO    :   2099 -  155105248.0 (  -7433552.0 difference)
[2020-08-14 22:11:12,131] chlorophyll.autograd INFO    :   2199 -  148573328.0 (  -6531920.0 difference)
[2020-08-14 22:11:12,391] chlorophyll.autograd INFO    :   2299 -  142927584.0 (  -5645744.0 difference)
[2020-08-14 22:11:12,651] chlorophyll.autograd INFO    :   2399 -  138120400.0 (  -4807184.0 difference)
[2020-08-14 22:11:12,909] chlorophyll.autograd INFO    :   2499 -  134078728.0 (  -4041672.0 difference)
[2020-08-14 22:11:13,167] chlorophyll.autograd INFO    :   2599 -  130711072.0 (  -3367656.0 difference)
[2020-08-14 22:11:13,425] chlorophyll.autograd INFO    :   2699 -  127918304.0 (  -2792768.0 difference)
[2020-08-14 22:11:13,683] chlorophyll.autograd INFO    :   2799 -  125604128.0 (  -2314176.0 difference)
[2020-08-14 22:11:13,940] chlorophyll.autograd INFO    :   2899 -  123679312.0 (  -1924816.0 difference)
[2020-08-14 22:11:14,198] chlorophyll.autograd INFO    :   2999 -  122068016.0 (  -1611296.0 difference)
[2020-08-14 22:11:14,456] chlorophyll.autograd INFO    :   3099 -  120705696.0 (  -1362320.0 difference)
[2020-08-14 22:11:14,714] chlorophyll.autograd INFO    :   3199 -  119542656.0 (  -1163040.0 difference)
[2020-08-14 22:11:14,971] chlorophyll.autograd INFO    :   3299 -  118538728.0 (  -1003928.0 difference)
[2020-08-14 22:11:15,228] chlorophyll.autograd INFO    :   3399 -  117661720.0 (   -877008.0 difference)
[2020-08-14 22:11:15,485] chlorophyll.autograd INFO    :   3499 -  116886816.0 (   -774904.0 difference)
[2020-08-14 22:11:15,751] chlorophyll.autograd INFO    :   3599 -  116193392.0 (   -693424.0 difference)
[2020-08-14 22:11:16,014] chlorophyll.autograd INFO    :   3699 -  115566144.0 (   -627248.0 difference)
[2020-08-14 22:11:16,273] chlorophyll.autograd INFO    :   3799 -  114992776.0 (   -573368.0 difference)
[2020-08-14 22:11:16,530] chlorophyll.autograd INFO    :   3899 -  114463368.0 (   -529408.0 difference)
[2020-08-14 22:11:16,789] chlorophyll.autograd INFO    :   3999 -  113970112.0 (   -493256.0 difference)
[2020-08-14 22:11:17,047] chlorophyll.autograd INFO    :   4099 -  113506904.0 (   -463208.0 difference)
[2020-08-14 22:11:17,303] chlorophyll.autograd INFO    :   4199 -  113068864.0 (   -438040.0 difference)
[2020-08-14 22:11:17,562] chlorophyll.autograd INFO    :   4299 -  112651744.0 (   -417120.0 difference)
